Transformed Depth,WDR Depth,Rain,Max Wind,Average WInd,Wind Dir
-0.3872161433,0.41,0.5,0.7,0.3154916699,2.273478298
-0.3872161433,0.41,7.4,0.6,0.2717558598,4.580233795
-0.3872161433,0.41,7.8,0.8,0.1874990059,3.556918974
-0.3872161433,0.41,7.6,0.9,0.3471359408,4.025578699
-0.585026652,0.26,1.3,0.3,0.1,2.49558936
-0.585026652,0.26,0.3,0.4,0.1333333333,1.787626092
-0.585026652,0.26,1,0.4,0.1333333333,2.654884863
-0.585026652,0.26,6,0.2,0.05645714126,4.186901033
-0.7447274949,0.18,1.1,0.1,0.05593810194,1.796477517
-0.7447274949,0.18,1.8,0.4,0.1333333333,4.362848131
-0.7447274949,0.18,0.3,0.6,0.04092342211,3.175446428
-0.7447274949,0.18,0.6,0.6,0.1328045242,3.032839149
-0.7447274949,0.18,0.5,0.6,0.05610246754,3.12169286
-0.7447274949,0.18,0.3,1,0.3395008499,3.132691746
-1.045757491,0.09,0.5,0.4,0.1333333333,2.654884863
-1.045757491,0.09,1.8,0.4,0.1129142825,2.131720117
-1.045757491,0.09,3.8,0.2,0.06666666668,3.663736288
-4,0.0001,0.8,4.1,0.8988208969,3.38507766
-4,0.0001,1.3,4.1,1.404178341,2.77515255
-4,0.0001,1.3,0.5,0.136383084,3.772009358
-4,0.0001,0.5,0.5,0.007092117181,2.613476519
-4,0.0001,0.5,0.5,0.1651430345,3.988675019
-4,0.0001,0.5,0.5,0.1666666667,3.787626092
-4,0.0001,0,0.2,0.06666666667,2.654884863
-4,0.0001,0.8,0.6,0.1844089771,4.350877133
-4,0.0001,0.5,0.6,0.1691143254,4.18296789
-4,0.0001,0,0.6,0.1799885075,4.363820242
-4,0.0001,0.3,1.7,0.5262089667,2.27513247
-4,0.0001,0.2,0,0,-1
-4,0.0001,0,0,0,-1
-4,0.0001,0.2,0,0,-1
-4,0.0001,0.5,0,0,-1
-4,0.0001,0,0.1,0.03333333333,1.796477517
-4,0.0001,0,0.1,0.03333333333,1.796477517
-4,0.0001,0.3,0.1,0.03333333333,1.796477517
-4,0.0001,0.5,0,0,-1
-4,0.0001,0.8,0,0,-1
-4,0.0001,0.8,0,0,-1
-4,0.0001,1,0,0,-1
-4,0.0001,1,0,0,-1
-4,0.0001,0.5,0.5,0.1666666667,2.796477517
-4,0.0001,0.5,0.5,0.1867946676,2.947207327
-4,0.0001,0.8,0.5,0.1804997978,3.125711901
-4,0.0001,0.5,0.1,0.05850550413,4.296477517
-4,0.0001,0.3,0.1,0.06243044582,4.43807017
-4,0.0001,0.5,0.1,0.03333333334,4.079662824
-4,0.0001,0.5,0.1,0.03333333334,4.079662824
-4,0.0001,0.3,0.1,0.03333333333,3.203552628
-4,0.0001,0.2,0,0,-1
-4,0.0001,4.8,0.1,0.03333333333,3.49558936
-4,0.0001,5.4,0.1,0.03333333333,3.49558936
-4,0.0001,4.4,0,0,-1
-4,0.0001,3,0.1,0.03333333333,4.646033438
-4,0.0001,2,0.1,0.03333333333,4.646033438
-4,0.0001,0.2,0.9,0.3,4.654884863
-4,0.0001,0.5,0.9,0.2871716424,4.550018043
-4,0.0001,0.5,0.1,0.06510584172,2.420367321
-4,0.0001,1,0.1,0.06510584172,2.420367321
-4,0.0001,0.3,0.3,0.1009605483,2.940360585
-4,0.0001,0,0.8,0.4681460856,4.190232065
-4,0.0001,0.7,0.6,0.3618069696,4.364599278
-4,0.0001,0.3,1.1,0.2510449174,2.624249886
-4,0.0001,0.2,1.1,0.3804852108,1.813719309
-4,0.0001,0.5,0.3,0.1598981632,3.42290228
-4,0.0001,0.3,2.6,1.0247021,3.282485582
-4,0.0001,0.2,2.6,0.9925606309,3.213876092
-4,0.0001,0.2,2.6,0.9520670529,3.24706214
-4,0.0001,0.2,1,0.3256941093,3.495672845
-4,0.0001,0.7,1,0.1603132015,3.416788558
-4,0.0001,0,0.4,0.1413768352,2.628736781
-4,0.0001,0,0.8,0.1294443274,2.979849019
-4,0.0001,0.3,0.8,0.226049891,3.422277715
-4,0.0001,0.3,0.8,0.1320946607,3.311453004
